delivery_id,district,lat,lon,address_line,recipient_name,assigned_driver,weight_kg
T00021,Pendik,40.847353,29.254858,52. Sokak No:130,Ensari Tarhan,D0005,3.03
T00022,Kartal,40.902135,29.216673,112. Sokak No:85,Aygönenç Fırat,D0014,0.38
T00023,Kadıköy,40.988703,29.04598,Akdeniz Sokağı No:103,Güler Bilgin,D0008,11.04
T00024,Fatih,41.026886,28.942071,Hayrioğlu Caddesi No:165,Seyfullah Bilgin,D0003,10.87
T00025,Üsküdar,41.021472,29.037574,53. Sokak No:79,Karaca Yaman,D0013,21.06
T00026,Sultanbeyli,40.981508,29.279708,Yaman Caddesi No:176,Zebirce Aslan,D0016,24.38
T00027,Bahçelievler,41.00953,28.870072,Arslan Sokak No:30,Erksoy Türk,D0001,1.6
T00028,Fatih,41.016004,28.938009,Aslan Sokak No:135,Okyalaz Yüksel,D0017,9.52
T00029,Fatih,41.025959,28.957644,13. Sokak No:18,Türkalp Erdoğan,D0005,20.92
T00030,Maltepe,40.931323,29.164135,61. Sokak No:5,Refet Soylu,D0003,11.96
T00031,Sultanbeyli,40.951054,29.260236,120. Sokak No:154,Havali Korutürk,D0003,15.95
T00032,Maltepe,40.942571,29.124524,Alemdar Sokağı No:42,Behiza Gül,D0004,23.5
T00033,Esenyurt,41.054512,28.687285,Akgündüz Sokak No:155,Teber Akça,D0020,3.8
T00034,Sultanbeyli,40.963486,29.258733,71. Sokak No:28,Tulun Aksu,D0002,2.39
T00035,Üsküdar,41.017761,29.010818,Soylu Sokak No:6,Baturay Fırat,D0005,9.77
T00036,Maltepe,40.92673,29.131552,43. Sokak No:155,Ganiye Çamurcuoğlu,D0011,7.6
T00037,Beylikdüzü,41.001228,28.655662,Fırat Sokağı No:52,Günar Akça,D0002,15.94
T00038,Kadıköy,40.968965,29.019471,83. Sokak No:12,İlper Fırat,D0014,0.31
T00039,Esenyurt,41.033796,28.696251,Karadeniz Caddesi No:165,Dolun Yıldırım,D0019,1.64
T00040,Küçükçekmece,40.993266,28.797438,Şensoy Caddesi No:134,Zihni Yorulmaz,D0014,16.31
T00041,Üsküdar,41.015812,29.034837,20. Sokak No:37,İslime Şensoy,D0015,0.94
T00042,Ataşehir,40.996964,29.125369,Arsoy Sokağı No:127,Kösemen Bilgin,D0014,15.63
T00043,Üsküdar,41.012463,29.016241,Hayrioğlu Sokağı No:31,Şamiha Güçlü,D0006,11.41
T00044,Kağıthane,41.062831,28.950714,Akar Sokağı No:83,Duracan Güçlü,D0019,12.35
T00045,Bahçelievler,41.010575,28.85037,Yüksel Bulvarı No:123,Müferrih Mansız,D0009,11.67
T00046,Bakırköy,40.975559,28.871476,Ergül Sokağı No:77,Mirbadin Akdeniz,D0017,11.1
T00047,Beylikdüzü,40.991271,28.651958,77. Sokak No:190,Nevsal Yaman,D0002,3.24
T00048,Zeytinburnu,41.017153,28.921475,78. Sokak No:152,Yayak Mansız,D0018,1.95
T00049,Küçükçekmece,41.01049,28.758607,Öcalan Sokağı No:138,Simber Ergül,D0016,15.57
T00050,Bağcılar,41.030679,28.875804,Karadeniz Bulvarı No:32,Mukbile Seven,D0017,15.32
T00051,Sultanbeyli,40.977557,29.258256,Manço Sokak No:78,Şüküfe Mansız,D0014,2.22
T00052,Bahçelievler,41.008699,28.868296,40. Sokak No:74,Çopur Hançer,D0017,7.57
T00053,Kartal,40.903432,29.177598,Akçay Sokağı No:174,Tamaydın Türk,D0015,17.22
T00054,Bağcılar,41.014293,28.83761,Akça Sokağı No:23,Ahat Hayrioğlu,D0005,20.54
T00055,Üsküdar,41.007113,29.003385,38. Sokak No:142,Şendoğan Türk,D0010,3.02
T00056,Bağcılar,41.041084,28.868462,Çorlu Sokak No:92,Cannur Hançer,D0019,1.43
T00057,Beylikdüzü,41.001171,28.642057,56. Sokak No:61,Başay Sezgin,D0019,5.22
T00058,Üsküdar,41.021708,29.020667,Demirel Sokak No:159,Günver Durdu,D0011,20.74
T00059,Bağcılar,41.027721,28.857318,Şama Sokak No:82,Muhyettin Akgündüz,D0001,10.81
T00060,Üsküdar,40.994277,29.021679,Dumanlı Sokak No:69,Günser Aslan,D0013,12.04
T00061,Kartal,40.917524,29.203769,Sakarya Bulvarı No:55,Sağcan Hançer,D0005,11.64
T00062,Pendik,40.887621,29.242245,112. Sokak No:38,Yılma Aslan,D0020,24.66
T00063,Zeytinburnu,41.00209,28.901678,Akdeniz Sokağı No:152,Nurdeniz Karadeniz,D0014,21.62
T00064,Ataşehir,40.986385,29.111849,64. Sokak No:93,Tanbay Zorlu,D0012,3.48
T00065,Sultanbeyli,40.959302,29.256838,111. Sokak No:151,Borataş Akçay,D0003,22.58
T00066,Maltepe,40.945236,29.125461,91. Sokak No:126,Subutiye Alemdar,D0018,9.89
T00067,Fatih,41.020588,28.954241,Hançer Bulvarı No:36,Süha İhsanoğlu,D0014,7.15
T00068,Kağıthane,41.079293,28.955445,Demir Caddesi No:182,Süner Akgündüz,D0020,7.23
T00069,Kartal,40.892983,29.190757,Demirel Bulvarı No:170,Abdulmenaf İhsanoğlu,D0012,10.64
T00070,Ataşehir,40.98608,29.139485,Bilgin Caddesi No:25,Terlan Alemdar,D0011,12.76
T00071,Beylikdüzü,41.003551,28.623204,18. Sokak No:74,Abdiş Şafak,D0013,18.01
T00072,Zeytinburnu,40.987481,28.89223,Yaman Sokağı No:187,Ilgı Durmuş,D0003,17.16
T00073,Sultanbeyli,40.961431,29.280634,53. Sokak No:4,Adlan Yaman,D0020,8.4
T00074,Esenyurt,41.037425,28.684222,Demirel Bulvarı No:174,Buyrukhan Seven,D0012,24.1
T00075,Bahçelievler,40.996841,28.859475,114. Sokak No:44,Bahtinur Seven,D0020,4.96
T00076,Ataşehir,41.005788,29.14188,Hançer Sokağı No:116,Sezen Demir,D0009,5.26
T00077,Kadıköy,41.001841,29.035486,Akçay Sokağı No:168,Yalgın Şensoy,D0003,18.1
T00078,Ümraniye,41.008427,29.137177,Zorlu Sokağı No:142,Okyalaz İhsanoğlu,D0017,2.9
T00079,Kadıköy,40.977758,29.043339,5. Sokak No:96,Evcimen Ergül,D0003,1.46
T00080,Kadıköy,40.976858,29.017693,93. Sokak No:20,Savni Akgündüz,D0016,18.16
T00081,Ümraniye,41.021668,29.125161,Şama Bulvarı No:146,Bahaddin Çamurcuoğlu,D0004,14.72
T00082,Zeytinburnu,40.981912,28.899353,83. Sokak No:150,Erbay Erdoğan,D0017,14.48
T00083,Ataşehir,40.9796,29.129163,Karadeniz Caddesi No:117,Kutgün Seven,D0017,13.92
T00084,Bakırköy,40.967385,28.87928,54. Sokak No:37,Şendoğan Duran,D0007,24.61
T00085,Kadıköy,40.977017,29.034469,Manço Bulvarı No:148,Selçuk Manço,D0014,18.46
T00086,Esenyurt,41.020254,28.670357,Akdeniz Bulvarı No:192,Ağbegim Arsoy,D0007,4.06
T00087,Beşiktaş,41.051953,29.007626,Gül Sokak No:91,Tansığ Seven,D0002,22.94
T00088,Maltepe,40.945803,29.134201,Tarhan Sokak No:36,Hafıza Ergül,D0018,2.23
T00089,Esenyurt,41.033762,28.67059,Ülker Sokağı No:142,Asım Yaman,D0015,19.17
T00090,Maltepe,40.9388,29.152315,Eraslan Sokağı No:127,Macide Şama,D0008,8.08
T00091,Maltepe,40.934823,29.113147,93. Sokak No:181,Sevgen Sezer,D0012,6.09
T00092,Üsküdar,41.024808,29.004144,22. Sokak No:73,Necva Akar,D0015,24.25
T00093,Maltepe,40.948245,29.121939,89. Sokak No:20,Temizkal Akçay,D0010,9.25
T00094,Maltepe,40.948012,29.130166,68. Sokak No:1,Kader Zengin,D0003,19.45
T00095,Ataşehir,41.001891,29.135915,Gül Sokak No:197,Tasvir Sezer,D0015,3.69
T00096,Sarıyer,41.160751,29.066423,98. Sokak No:22,Muvahhide Kısakürek,D0003,20.6
T00097,Bağcılar,41.061608,28.867595,Kısakürek Caddesi No:194,Halidun İhsanoğlu,D0015,7.06
T00098,Beşiktaş,41.066898,28.996348,58. Sokak No:128,Barsen Akgündüz,D0019,11.9
T00099,Bağcılar,41.042006,28.850917,39. Sokak No:91,Rebihat Akgündüz,D0014,1.12
T00100,Kadıköy,41.002345,29.014676,80. Sokak No:121,Acarkan Dumanlı,D0009,3.7
T00101,Kağıthane,41.07768,28.949628,108. Sokak No:164,Bahaddin Aksu,D0018,6.25
T00102,Bahçelievler,40.973799,28.875798,Durmuş Sokağı No:180,Sedife Eraslan,D0014,11.98
T00103,Fatih,41.036089,28.945096,Hayrioğlu Caddesi No:22,Mükramin Türk,D0018,22.24
T00104,Beylikdüzü,41.017939,28.662197,106. Sokak No:26,Şükri Karadeniz,D0013,2.01
T00105,Şişli,41.066606,28.989407,85. Sokak No:113,Zülgarni Yılmaz,D0011,17.45
T00106,Zeytinburnu,41.020741,28.905858,82. Sokak No:13,Şemsinisa Ülker,D0015,9.87
T00107,Bağcılar,41.045051,28.858171,106. Sokak No:108,Nerim Arsoy,D0014,21.6
T00108,Şişli,41.070334,28.985037,97. Sokak No:33,Tan Akçay,D0012,5.56
T00109,Küçükçekmece,41.006671,28.803089,58. Sokak No:118,Mihriye Seven,D0015,24.58
T00110,Şişli,41.054362,28.987649,Dumanlı Caddesi No:194,Satrettin Akdeniz,D0009,22.25
T00111,Zeytinburnu,40.994338,28.891008,Çamurcuoğlu Sokağı No:138,Erksoy Karadeniz,D0004,1.28
T00112,Sarıyer,41.169713,29.052952,Şama Bulvarı No:180,Satrettin Aslan,D0006,3.62
T00113,Kağıthane,41.079493,28.960524,Şener Caddesi No:1,Seyfullah Gülen,D0010,18.17
T00114,Maltepe,40.923845,29.155601,114. Sokak No:110,Günebakan Eraslan,D0016,1.54
T00115,Ataşehir,40.992357,29.128152,Sezer Sokak No:43,Özçam Zorlu,D0003,10.22
T00116,Bağcılar,41.038871,28.844823,9. Sokak No:82,Fersan Demir,D0003,16.77
T00117,Şişli,41.06147,28.983435,Türk Caddesi No:130,Yurdaser Çorlu,D0010,15.52
T00118,Kağıthane,41.075233,28.971169,Aslan Sokak No:85,Hayali Yaman,D0012,4.29
T00119,Esenyurt,41.039106,28.659956,Akçay Sokak No:94,Tuğrulhan Seven,D0007,18.6
T00120,Sultanbeyli,40.945384,29.258705,71. Sokak No:53,Acar Türk,D0006,23.33
T00121,Sultanbeyli,40.950444,29.241116,49. Sokak No:139,Neşrin Akçay,D0010,20.01
T00122,Küçükçekmece,40.991092,28.786373,25. Sokak No:90,Gülseren Güçlü,D0004,2.24
T00123,Şişli,41.063853,29.00062,117. Sokak No:186,Değmeer Akgündüz,D0001,7.32
T00124,Şişli,41.055284,28.988116,Kısakürek Sokağı No:97,Yepelek Seven,D0013,12.5
T00125,Pendik,40.88975,29.233847,Bilge Bulvarı No:88,Özçam Bilgin,D0003,6.92
T00126,Maltepe,40.949126,29.127333,Şafak Bulvarı No:140,Cangür Türk,D0009,17.89
T00127,Sultanbeyli,40.962121,29.266394,Şama Sokak No:176,Muvaffak Çetin,D0015,20.79
T00128,Bağcılar,41.035165,28.851363,Ergül Sokak No:178,Ayaydın Şensoy,D0004,19.05
T00129,Beşiktaş,41.034763,29.018024,64. Sokak No:54,Berkal Şafak,D0003,24.04
T00130,Pendik,40.883262,29.257462,72. Sokak No:39,Nesip Erdoğan,D0005,15.4
T00131,Zeytinburnu,40.969947,28.894872,Sezer Sokağı No:161,Oğurata Aslan,D0007,3.38
T00132,Maltepe,40.914811,29.145631,Sezgin Sokağı No:200,Mishat Eraslan,D0014,19.85
T00133,Şişli,41.061417,28.990847,22. Sokak No:120,Evcimen Seven,D0015,0.64
T00134,Pendik,40.88328,29.248189,Hançer Caddesi No:126,Çağveren Karadeniz,D0012,12.83
T00135,Bağcılar,41.050973,28.864759,31. Sokak No:191,Tuğçe Demirel,D0017,12.02
T00136,Şişli,41.060859,28.990671,Öcalan Sokak No:136,Candeniz Türk,D0003,22.57
T00137,Bakırköy,40.980554,28.875559,Akgündüz Sokağı No:5,Özsözlü Arsoy,D0013,16.37
T00138,Ataşehir,40.989387,29.151846,116. Sokak No:70,Sayrak Türk,D0011,11.35
T00139,Ataşehir,41.001649,29.125637,Akçay Bulvarı No:141,Vefia Güçlü,D0009,19.69
T00140,Maltepe,40.95125,29.12221,100. Sokak No:46,Gülper Şafak,D0020,8.22
T00141,Üsküdar,41.028967,29.010426,42. Sokak No:121,Uluman Aksu,D0004,8.44
T00142,Ataşehir,41.01233,29.113922,41. Sokak No:164,Zeynelabidin Zorlu,D0013,2.78
T00143,Kadıköy,40.993619,29.037585,115. Sokak No:141,Tali Bilge,D0006,22.59
T00144,Kadıköy,40.988088,29.023288,İhsanoğlu Caddesi No:162,Karataş Demir,D0015,22.81
T00145,Zeytinburnu,40.9928,28.925393,Yıldırım Sokağı No:92,Barak Karadeniz,D0015,5.04
T00146,Bakırköy,40.996649,28.859595,Demir Sokağı No:172,Müjde Güçlü,D0020,8.18
T00147,Ümraniye,41.0065,29.13551,Türk Caddesi No:21,Seçme Fırat,D0001,14.49
T00148,Ümraniye,41.03121,29.136714,Fırat Bulvarı No:58,Mujde Şener,D0019,22.02
T00149,Maltepe,40.943475,29.137562,84. Sokak No:145,Nerim Fırat,D0020,15.15
T00150,Bahçelievler,41.008451,28.869741,İnönü Caddesi No:123,Çisem Fırat,D0009,3.56
T00151,Zeytinburnu,40.989794,28.899714,46. Sokak No:25,Çavuldur Şafak,D0013,16.77
T00152,Zeytinburnu,40.984301,28.874139,Çetin Sokak No:23,Oguş Akar,D0013,5.14
T00153,Üsküdar,41.00582,29.021337,40. Sokak No:19,Şazime Öcalan,D0008,24.19
T00154,Bakırköy,40.998292,28.88873,Eraslan Bulvarı No:147,Delil Erdoğan,D0016,9.72
T00155,Zeytinburnu,40.997386,28.904236,101. Sokak No:101,Feremez Karadeniz,D0020,17.96
T00156,Ümraniye,40.991393,29.125208,Kısakürek Sokağı No:4,Erdibay Zorlu,D0017,14.26
T00157,Esenyurt,41.035763,28.681512,1. Sokak No:78,Sahir Demir,D0009,7.17
T00158,Esenyurt,41.036807,28.680269,Duran Bulvarı No:34,Gökçebalan Ertaş,D0017,7.62
T00159,Şişli,41.068866,28.992894,14. Sokak No:113,Buşra Yıldırım,D0013,11.33
T00160,Ümraniye,41.003678,29.121462,Erdoğan Caddesi No:55,Büreyre Karadeniz,D0010,16.95
T00161,Fatih,41.038757,28.95328,Demirel Caddesi No:110,Cedide Tevetoğlu,D0014,12.92
T00162,Maltepe,40.914624,29.113587,İnönü Bulvarı No:16,Yoruç Eraslan,D0011,10.12
T00163,Pendik,40.85908,29.23672,44. Sokak No:49,Rasul İhsanoğlu,D0007,14.4
T00164,Kağıthane,41.095136,28.945986,Tevetoğlu Bulvarı No:150,Ümmahan Öcalan,D0016,13.4
T00165,Esenyurt,41.037772,28.688922,Çorlu Sokağı No:192,Rojnu Karadeniz,D0006,17.85
T00166,Sarıyer,41.153167,29.070609,Aksu Bulvarı No:159,Sedife Akgündüz,D0007,11.36
T00167,Kartal,40.921907,29.158024,44. Sokak No:82,Gazel Eraslan,D0003,16.14
T00168,Bağcılar,41.014763,28.860308,Ertaş Sokağı No:108,Uzsoy Tevetoğlu,D0008,14.5
T00169,Şişli,41.065999,28.988887,31. Sokak No:149,Çoğay Aksu,D0009,15.51
T00170,Esenyurt,41.036818,28.683507,Demir Sokağı No:32,Asım Soylu,D0015,22.11
T00171,Sultanbeyli,40.967382,29.276033,74. Sokak No:119,Üstün Yorulmaz,D0007,14.04
T00172,Bağcılar,41.015763,28.854469,Sezgin Bulvarı No:143,Ziyaettin Demirel,D0015,11.13
T00173,Pendik,40.874114,29.233143,Dumanlı Sokağı No:82,Günser Tevetoğlu,D0003,18.75
T00174,Fatih,41.048618,28.933047,75. Sokak No:172,Neslinur Manço,D0013,8.28
T00175,Kadıköy,40.978567,29.031578,56. Sokak No:42,Abid Gül,D0019,13.72
T00176,Beşiktaş,41.049288,29.012644,107. Sokak No:159,Alattin Sezgin,D0017,22.39
T00177,Küçükçekmece,40.980375,28.78738,Durdu Sokak No:59,Nasuf Akgündüz,D0002,24.27
T00178,Bahçelievler,41.003663,28.843642,38. Sokak No:68,Sencar Durmuş,D0008,8.18
T00179,Fatih,41.009463,28.93859,Sakarya Sokak No:72,Bahaddin Çorlu,D0004,11.35
T00180,Kartal,40.899743,29.178951,İnönü Sokağı No:164,Duracan Tarhan,D0020,2.4
T00181,Beylikdüzü,41.004941,28.638393,45. Sokak No:113,Rafia Mansız,D0005,20.36
T00182,Küçükçekmece,41.005754,28.778046,84. Sokak No:155,Feyruz Ertaş,D0012,1.4
T00183,Ataşehir,40.971475,29.116174,Arsoy Caddesi No:61,Dündaralp Demirel,D0012,2.36
T00184,Esenyurt,41.03842,28.69765,63. Sokak No:62,Gabel Manço,D0002,16.65
T00185,Üsküdar,41.024215,29.014845,Yıldırım Bulvarı No:189,Ginyas Kısakürek,D0006,21.1
T00186,Üsküdar,41.022734,29.008485,40. Sokak No:73,Orgün Yaman,D0018,6.17
T00187,Fatih,41.027781,28.95257,Güçlü Sokağı No:89,Dinçkol Bilgin,D0008,0.45
T00188,Beşiktaş,41.046956,29.004733,Alemdar Caddesi No:63,Besin Şafak,D0002,7.09
T00189,Maltepe,40.925071,29.142079,Şama Sokağı No:21,Nazıdil Akdeniz,D0006,15.43
T00190,Ataşehir,40.982707,29.103827,25. Sokak No:129,Umuşan Hayrioğlu,D0007,24.83
T00191,Kartal,40.916176,29.188406,Hançer Caddesi No:95,Melikkan Soylu,D0017,22.12
T00192,Beylikdüzü,41.011431,28.629166,50. Sokak No:112,Onurcan Eraslan,D0008,19.03
T00193,Üsküdar,41.031623,28.996802,Zorlu Sokağı No:103,Sunay Durmuş,D0005,22.02
T00194,Bağcılar,41.036262,28.857876,Sezgin Caddesi No:53,Subutiye Güçlü,D0019,18.0
T00195,Şişli,41.064478,28.988038,Akar Sokak No:165,Barak Şener,D0009,10.44
T00196,Küçükçekmece,40.990952,28.791977,Karadeniz Bulvarı No:107,Alexandru Hançer,D0019,20.65
T00197,Şişli,41.071353,28.998098,Mansız Bulvarı No:102,Hıfzullah Ertaş,D0013,20.9
T00198,Üsküdar,41.028122,29.020693,Şensoy Sokağı No:194,Atılgan Şafak,D0018,14.44
T00199,Bahçelievler,41.014283,28.84307,Yılmaz Sokağı No:138,Eröz Zorlu,D0006,9.69
T00200,Esenyurt,41.030185,28.678119,Korutürk Bulvarı No:93,Rabih Şener,D0008,11.88
